question,ground_truth,agent_response,retrieval_status,judge_scores
Who develops quality control systems for ocean temperature in-situ profiles?,Scientists from the Chinese Academy of Sciences' Institute of Atmospheric Physics (IAP),AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Why are milder winters detrimental for grapes and apples?,"Milder winters are detrimental for grapes and apples because these perennial species rely on consistent winter conditions for proper dormancy and bud timing, and erratic temperature swings disrupt these processes, making it difficult for growers to manage.",AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
What are the basic recycling steps for solar panels?,"removing the frames, glass covers, and solar connectors",AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Why does melting ice contribute to global warming?,"Melting ice contributes to global warming because white ice reflects the sun's rays, while the dark sea absorbs over ten times more solar energy, increasing heat and accelerating warming.",AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Does the Swedish government plan bans on new petrol and diesel cars?,yes,AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Where do the turbines used in Icelandic geothermal power plants come from?,Japan,AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Who is the target user for Leapfrog Energy?,subsurface specialists,AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
What is Agrivoltaics?,the integration of food production and solar energy to make better use of limited land and soil resources,AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
What is Agrivoltaics?,the integration of food production and solar energy to make better use of limited land and soil resources,AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Why is cannabis cultivation moving indoors?,"to meet the demand for higher-quality products, control environmental factors and flowering periods, and ensure consistent, year-round harvests",AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
What are the obstacles for cannabis producers when it comes to using solar energy?,"limited access to financial instruments, inability to secure standard loans or mortgages, lack of access to tax-credit programs due to federal illegality, and increased investor risk since companies can't restructure through bankruptcy",AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
"In 2021, what were the top 3 states in the US in terms of total solar power generating capacity?","California, Texas, and Florida",AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
Which has the higher absorption coefficient for wavelengths above 500m - amorphous germanium or amorphous silicon?,amorphous germanium,AGENT ERROR: InvalidStateError: Result is not set.,Web/Reasoning Only,"{'relevance': 0, 'faithfulness': 0, 'completeness': 0}"
